"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 마포구청",서울특별시 마포구 대흥로24길 32,서울특별시 마포구 염리동 508-1,생활방범,1,130,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 삼개로1길 3,서울특별시 마포구 도화동 201-55,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 새창로4길 15,서울특별시 마포구 도화동 185-20,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 마포대로4나길 13,서울특별시 마포구 마포동 220,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 와우산로7길11,서울특별시 마포구 상수동 326-1,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 와우산로5길 39,서울특별시 마포구 당인동 14-1,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 신수로9길19,서울특별시 마포구 신수동 93-111,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 서강로8길 12,서울특별시 마포구 신수동 70-18,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 와우산로38길 6,서울특별시 마포구 동교동 188-4,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 와우산로38길 32,서울특별시 마포구 동교동 190-37,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 양화로8길 21,서울특별시 마포구 서교동 395-195,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 잔다리로3안길 31,서울특별시 마포구 서교동 395-128,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 월드컵로8길 73,서울특별시 마포구 서교동 466-9,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 동교로 282,서울특별시 마포구 연남동 224-18,생활방범,1,130,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 동교로46길 30,서울특별시 마포구 연남동 384-1,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 월드컵로19길 21,서울특별시 마포구 망원동 57-17,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 월드컵로 13길 57,서울특별시 마포구 망원동 57-169,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 방울내로9안길 29,서울특별시 마포구 망원동 467-3,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 토정로3안길 20,서울특별시 마포구 합정동 368-4,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 독막로6길 22,서울특별시 마포구 합정동 361-4,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 성미산로11길 75,서울특별시 마포구 성산동 20-2,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 월드컵로20길 58,서울특별시 마포구 서교동 247-64,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 월드컵북로27길 41,서울특별시 마포구 성산동 200-263,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 성미산로5안길 19,서울특별시 마포구 성산동 30-4,생활방범,1,200,360도전방면,30,2017-03,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 홍재천변,서울특별시 마포구 성산동 347-3,생활방범,1,200,360도전방면,30,2017-04,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 와우산로21길 19-3,서울특별시 마포구 서교동 359,생활방범,2,200,360도전방면,30,2017-04,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 토정로37길 41,서울특별시 마포구 염리동 173-29,생활방범,1,200,360도전방면,30,2017-04,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 동막로266,서울특별시 마포구 대흥동 660-1번지(태영아파트109동옆),생활방범,1,200,360도전방면,30,2017-04,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 토정로37길 12,서울특별시 마포구 도화소어린이공원,생활방범,1,200,360도전방면,30,2017-04,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 토정로37길 12,서울특별시 마포구 도화소어린이공원,생활방범,1,200,360도전방면,30,2017-04,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 토정로37길 12,서울특별시 마포구 도화소어린이공원,생활방범,1,200,360도전방면,30,2017-04,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 신수로 62,서울특별시 마포구 신수동 346-1,생활방범,1,200,360도전방면,30,2017-06,02-3153-8433,99.999999,999.999999,2017-04-25
"서울특별시 마포구청",서울특별시 마포구 상암동 부엉이 근린 공원,서울특별시 마포구 상암동 부엉이 근린 공원,생활방범,1,130,360도전방면,30,2017-12,02-3153-8433,99.999999,999.999999,2017-04-25
